number,name,img_file,upright,reverse,wiki
0,愚者,0_愚者.jpg,愚かな行為。浮浪者。定職や定まった住居も無い者。流れ者。大道芸人。香具師。やくざ者。未熟。間違った道を行く。旅。ノイローゼ。精神病。狂犬病。物質への執着。愛より物質。条件をとっての結婚。,希望。終わりからの再生。精神的な目覚め。悟りをひらく。学問。知識を求めての旅。海外留学。海外旅行。よい旅。,夢想・愚行・極端・熱狂
1,魔術師,1_魔術師.jpg,希望。創造。巧み。熟練。創業。修行を始める。恋愛や交際の始まり。入学。ものごとの始まり。聖地。聖者。宗教上の本山などへの参詣。結婚式。新婚旅行。,優柔不断。不適当。弱さ。不安定。神経の不足。創造力の不足。未来の計画に対する臆病さ。無理にすすめられる結婚や結婚式。技量不足で低迷する恋愛。,意志・手腕・外交
2,女司祭長,2_女司祭長.jpg,学問。知性。常識。静穏。知恵。賢明さ。落ち着き。啓示されない未来。芸術家。オカルチスト。,晩婚。わがまま。思慮のない行為。欺瞞。官能的な享楽。移り気から起こる失敗。悪女の恋人にほんろうされる。,秘密・神秘・英知
3,女帝,3_女帝.jpg,美貌の女性。官能的な女性。未来に対して安定した現状。妊娠。出産。結婚。愛欲。家庭。自然と接触することから得られる霊感とやすらぎ。癒し。芸術的才能や感覚。収穫。繁栄。同情的な親切。物質的援助と保護。豊かな土地。良い土地。自然が損なわれていない土地。,ぐずつく結婚。優柔不断な愛。不決断。女らしい性格のマイナス面。なかなか受胎しない状態。不潔な女性。生産性の欠如。,実り・行動・月日の長さ・未知
4,皇帝,4_皇帝.jpg,権力。支配力。一家の家長や一族の長。職場、またはグループのリーダー。長男。活動力。情熱。闘争本能。愛情や女性を行動や力で獲得するたくましい男性。性衝動。,未熟。無力。外見と違って内面は弱い性格をもつ男性。統率力を失う。指導性の欠如。長男だが家や家業を継がない立場。,統治・堅固さ・防御・同盟
5,司祭長,5_司祭長.jpg,人生の転換。心の転換。思いやり。愛情の深まり。愛情面の不可能を可能にする。宗教（密教的なもの）。オカルト。儀式。結婚式。幸福への援助がえられる。よき相談相手。忠告。教え。勇気と功名を与える人物。宗教的な慰め。,異端。慈悲や思いやりに欠ける。援助が打ち切られる。誤った情報。ゆがめられた真実。情報をつかむことによって得られた権力。宣伝。歪める。悪意のある忠告。,信条・社会性・恵みと有徳
6,恋人たち,6_恋人たち.jpg,恋愛。女性側からの誘惑で成功した恋愛。無邪気な十代や若者の恋愛関係。セックス。嫉妬。美しさ。情熱。好きで打ち込む趣味。重要な事件の発生による選択の時期。,よろめき。誘惑。遊びだけの関係。気まぐれ。結婚生活の危機。痴話げんか。道徳心の欠如による危険。ジェラシー。希望に関して重要な道が選べない。,魅力・愛美
7,戦車,7_戦車.jpg,征服。勝利。凱旋。自立。出世。野望をなしとげる。困難の克服。宗教、迷信に打ち勝つ。先頭をきった最初の勝利。自力で勝ち得た成功。乗っ取り。買占め。経済的野心の成功。立身出世。力で勝ち取った恋愛。戦争。戦火。兵隊。自動車、その他乗り物。運転者。,計画の挫折。恋愛などの敗北。障害。利己主義。ルーズ。他人の権利を無視する。,援軍・摂理・勝利・復讐
8,力,8_力.jpg,勇気。自己犠牲。念力。インスピレーション。不可能を成し遂げる力。常識や社会通念の打破。偉大な精神的指導力。忍耐。努力と忍耐による愛の勝利。理想へ向かう。相手の醜い欲望をなくさせる。危険を恐れない勇気をもつなら計画を実行に移すことが出来る。,獣性や強いものに負ける。常識や法に負ける。力の乱用。忍耐の欠如。弱さ。チャンスを逃がす。,力・勇気・寛大・名誉
9,隠者,9_隠者.jpg,秘められた知恵。哲学。真実の愛（それらを求め続ける者）。研究者。思慮。分別。自制。自己の判断による行動。静かな忠告。弁護士。逃避行。俗世間から離れた生活。,愚かな知恵。偽りの愛。未熟。忍耐不足。愚かな悪事。忠告の拒否。親切な助言の拒否。,深慮・忠告を受ける・崩壊
10,運命の輪,10_運命の輪.jpg,幸運。成功。無限のひろがり。宿命。占星学。天文学。運命的な出来事。運命的な結びつき。一目ぼれ。新しい恋のめばえ。環境の変化による問題の解決。,つかの間のチャンス。幸運の後にやってくる突然の不幸。失恋。事業の失敗。経験不足からくる失敗。逆戻し。挫折。悪い転換。事件の終わり。,幸運・転機・向上
11,正義,11_正義.jpg,正義。裁き。裁判。調停。公正な人物。常識家。均衡をとって生きていく人。バランスのとれた愛情。家庭と仕事の均衡をうまくとる。財政上の均衡がとれる。,相手を厳しく裁く。裁判上の厳しい裁き（敗北）。無法。暴力。財政上の失敗。公正さを欠く。家庭と仕事のバランスが崩れる。,平等・正しさ・正当な判決
12,吊し人,12_吊し人.jpg,自己犠牲。自己放棄。試練。修行。難行。殉教者。幽界（潜在意識の世界）からの導き。身動きのとれない状況。服従。復活。再生。心の柔軟性。,我欲のとりこ。わがまま。自己主張がすぎる。つかみ難い態度や状況。敗北に導く精神的葛藤。,英知・慎重・試練・直観
